0,1,2
168.0001,169.9902,none
166.7767,169.8824,none
167.7542,169.9898,none
167.8499,170.1123,none
166.9099,170.5677,none
167.8149,170.971,none
168.0934,170.2978,none
167.5259,171.5956,none
167.8989,170.5941,none
168.5043,170.5842,none
166.9494,170.0003,none
168.1025,170.1018,none
168.4544,170.693,none
168.1126,170.7632,none
167.3415,170.7886,none
166.4145,170.3552,none
167.4923,170.2992,none
167.3948,170.8825,none
165.6584,170.8874,none
166.9593,170.7736,none
166.5607,170.6707,none
167.488,170.9113,none
167.0555,170.9738,none
165.3256,170.7762,none
166.5958,171.2573,none
166.172,170.4705,none
165.8522,170.3223,none
165.4171,170.4742,none
165.9049,170.9114,none
165.9981,170.0858,none
165.9005,170.6035,none
167.0222,171.0413,none
166.098,170.7042,none
166.6351,171.2724,none
167.9211,171.7981,none
167.046,170.9254,none
166.354,171.0318,none
167.6489,171.5616,none
166.9528,171.0213,none
167.644,171.5019,none
167.8304,171.5217,none
168.1079,171.3898,none
168.0655,171.9044,none
167.491,170.8732,none
168.0123,171.5895,none
167.6676,171.7883,none
166.906,171.3793,none
167.8119,171.1739,none
168.4179,170.7946,none
168.4754,170.9882,none
168.9517,170.8823,none
168.0726,171.0333,none
167.5816,171.2512,none
167.66,171.0206,none
167.8123,170.984,none
167.6274,171.408,none
167.5329,170.8784,none
167.8399,170.9711,none
166.7094,170.9641,none
167.4467,170.9787,none
167.5325,171.3612,none
167.5748,171.6955,none
168.6156,170.7537,none
168.0505,170.5341,none
167.3283,171.0461,none
167.4632,170.9554,none
167.5798,170.9596,none
167.3902,171.3324,none
167.4696,170.7823,none
167.1583,171.1295,none
167.4196,171.011,none
167.5233,170.8647,none
166.9675,170.9599,none
166.7744,170.7461,none
166.6513,171.1433,none
166.6455,170.6934,none
166.4269,170.8719,none
166.8832,171.1081,none
167.4367,170.9457,none
167.2698,171.3949,none
167.5516,170.9584,none
167.5536,171.2963,none
167.5029,170.9054,none
165.8033,170.5624,none
166.8482,170.8949,none
166.0481,170.0233,none
167.2506,170.6055,none
167.2502,170.4626,none
167.0644,171.0976,none
167.3258,171.4002,none
167.4567,171.5698,none
167.3105,170.3642,none
167.2967,170.5825,none
166.9971,171.1059,none
166.4207,171.1807,none
167.5847,170.3441,none
166.6478,170.5005,none
167.6531,170.062,none
167.1897,170.381,none
167.1582,170.1916,none
166.6683,170.1146,none
167.1138,169.9191,none
167.8603,171.4819,none
167.8595,169.8569,none
166.6863,171.0982,none
166.9658,170.2765,none
167.2277,170.3717,none
166.0447,170.5606,none
167.5192,170.7739,none
167.2703,171.6389,none
167.9273,171.7004,none
168.0912,172.0084,none
167.3324,171.3895,none
166.8677,171.0895,none
167.3376,171.3932,none
167.5831,171.7442,none
167.5769,171.4423,none
167.791,171.3493,none
168.431,171.1359,none
167.0058,170.6303,none
168.042,171.2089,none
167.595,171.6531,none
169.0725,171.5443,none
168.7161,171.0189,none
167.331,170.6669,none
167.2083,169.8377,none
167.7602,170.9163,none
168.1578,171.1802,none
167.5715,170.7706,none
169.2228,170.5457,none
168.362,171.0274,none
168.1547,171.2079,none
168.3983,171.4932,none
167.981,171.0945,none
168.0765,171.001,none
168.2007,171.2205,none
168.027,171.8893,none
168.0559,171.2943,none
168.5785,171.0466,none
168.3186,171.6484,none
168.1348,171.3798,none
168.7798,171.5569,none
167.5846,171.2325,none
168.3069,171.125,none
167.7372,171.5114,none
167.0477,171.2087,none
167.2698,170.7283,none
167.9156,171.6909,none
168.4952,171.6929,none
168.84,171.589,none
168.3927,171.6579,none
168.3917,171.6679,none
168.8146,171.7815,none
168.9276,171.1947,none
168.3753,171.7767,none
168.6174,171.5358,none
167.1079,171.0953,none
167.8564,171.9091,none
168.0504,171.5322,none
168.1431,171.7707,none
167.6696,171.6189,none
167.2643,172.2501,none
166.9716,171.9273,none
167.3236,172.3329,none
168.2472,172.1378,none
167.1143,171.744,none
167.5268,171.6273,none
167.3408,171.3283,none
166.8286,171.2256,none
166.9136,171.5371,none
167.443,171.6969,none
167.6926,171.7219,none
167.8892,171.6167,none
167.3388,171.776,none
168.018,171.9929,none
167.5401,171.3165,none
167.394,171.4314,none
167.292,171.5134,none
166.8802,171.3046,none
166.7989,171.0695,none
167.0443,171.3891,none
166.9169,171.6762,none
167.0816,170.7552,none
167.3179,171.7081,none
166.9758,171.255,none
167.2181,171.4592,none
166.7721,171.6124,none
166.7106,171.7252,none
167.9119,171.4915,none
167.1278,171.2175,none
166.6564,171.7185,none
167.7066,171.935,none
167.4444,171.6754,none
167.0571,171.3152,none
167.217,171.8022,none
166.6876,171.5137,none
168.4598,171.7809,none
167.2719,171.5764,none
167.205,171.4807,none
167.7901,172.2019,none
168.4253,172.2176,none
167.1409,171.3969,none
166.7668,171.7081,none
166.9307,171.7226,none
166.9764,171.706,none
167.6559,171.6097,none
166.8728,171.6503,none
167.2499,171.9724,none
168.0609,171.7029,none
167.2179,171.5447,none
167.5869,172.0471,none
167.908,172.122,none
167.0023,171.4976,none
169.4845,171.9272,none
167.0056,171.1624,none
168.7828,171.5299,none
168.5759,171.2671,none
168.9497,171.493,none
167.4948,171.3449,none
168.1083,171.7422,none
167.8381,171.5575,none
168.5128,171.2547,none
168.3076,170.7533,none
167.0322,170.5937,none
167.8475,170.8404,none
167.9078,171.1545,none
167.3709,171.1043,none
166.3783,170.6611,none
167.8066,170.3805,none
166.8049,170.2021,none
167.9314,169.9862,none
167.665,169.4278,none
167.9027,169.9523,none
167.4997,169.811,none
167.5196,169.8405,none
166.551,169.6091,none
167.4009,169.8814,none
